relevance,area,year,first_author,n_authors,title,venue,type,citations,fwci,open_access,doi,openalex_id
core,B,2021,Toshiyuki Sueyoshi,2,Performance assessment on technology transition from small businesses to the U.S. Department of Defense,Socio-Economic Planning Sciences,article,3,0.3016,False,10.1016/j.seps.2021.101177,W3210107819
core,B,2019,David B. Audretsch,3,Public/private technology partnerships: evaluating SBIR-supported research,Edward Elgar Publishing eBooks,book-chapter,10,23.1825,False,10.4337/9781788116336.00021,W2926101197
core,B,2019,Deepa Narayanan,4,Engaging SBIR Resources for Development of Surgical Innovations in Oncology,Success in academic surgery,book-chapter,2,1.5967,False,10.1007/978-3-030-18613-5_14,W2965653189
core,B,2019,Jennifer L. Gustetic,14,Making NASA More Business Friendly: A Small Business Innovation Research and Small Business Technology Transfer Case Study,New Space,article,2,0.0,False,10.1089/space.2019.0005,W2965099585
core,C,2026,Christopher A. Swann,1,Firm reliance on SBIR funding and its relation to the generation of spin-off firms and patenting,The Journal of Technology Transfer,article,0,0.0,True,10.1007/s10961-025-10318-3,W7124557557
core,C,2020,Kaveh Zakeri,5,Development of Novel Radiosensitizers through the National Cancer Institute's Small Business Innovation Research Program,Radiation Research,article,7,1.2734,True,10.1667/rr15545.1,W3013102198
core,C,2019,David B. Audretsch,3,Knowledge begets knowledge: university knowledge spillovers and the output of scientific papers from U.S. Small Business Innovation Research (SBIR) projects,Scientometrics,article,25,8.466,True,10.1007/s11192-019-03260-3,W2978739218
core,D,2025,Carlo Bottai,3,A new approach to measuring invention commercialization: An application to the SBIR program,Research Policy,article,3,6.9366,True,10.1016/j.respol.2025.105302,W4413150711
core,D,2022,Maryann P. Feldman,5,Evaluating the tail of the distribution: the economic contributions of frequently awarded government R&amp;D recipients,Research Policy,article,21,4.662,True,10.1016/j.respol.2022.104539,W4280619863
core,D,2022,Supradeep Dutta,3,Does NIH select the right healthcare ventures through the SBIR grant program?,The Journal of Technology Transfer,article,5,1.112,True,10.1007/s10961-022-09964-8,W4296558680
core,D,2021,Lauren Lanahan,3,Do public R&amp;D subsidies produce jobs? Evidence from the SBIR/STTR program,Research Policy,article,43,7.8372,False,10.1016/j.respol.2021.104286,W3170812896
core,D,2021,Aleksandar Giga,5,Helping the Little Guy: the impact of government awards on small technology firms,The Journal of Technology Transfer,article,28,4.8256,False,10.1007/s10961-021-09859-0,W3165540576
core,D,2021,Will D. Swearingen,5,Is Sbir A Government Venture Fund?,Technology & Innovation,article,2,0.0,True,10.21300/21.4.2021.3,W3180204824
core,D,2020,Sabrina T Howell,2,Do Cash Windfalls Affect Wages? Evidence from R&amp;D Grants to Small Firms,National Bureau of Economic Research,report,13,,True,10.3386/w26717,W2984568115
core,D,2020,John W. Hardin,3,Public Support of Private Innovation: An Initial Assessment of the North Carolina SBIR/STTR Phase I Matching Funds Program,Annals of Science and Technology Policy,article,4,0.9316,True,10.1561/110.00000015,W3034816269
core,D,2020,Brigid Tuck,1,"ITEM WITHDRAWN: Economic Contribution of the Federal Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) Funding to Minnesota Small Businesses (Minnesota, Fiscal Years 1983 - 2019)",University of Minnesota Digital Conservancy (University of Minnesota),article,0,0.0,False,,W3082362275
core,D,2019,James Onken,3,Geographically-related outcomes of U.S. funding for small business research and development: Results of the research grant programs of a component of the National Institutes of Health,Evaluation and Program Planning,article,11,1.6933,True,10.1016/j.evalprogplan.2019.101696,W2966834265
core,D,2019,Robin Gaster,4,Estimating Outcomes and Impacts from Innovation Programs: The Case of Air Force and Navy SBIR/STTR Programs,Technology & Innovation,article,1,0.0,True,10.21300/21.1.2019.49,W2983745315
core,D,2019,Lauren Lanahan,1,The Multilevel Innovation Policy Mix: Three Essays on State SBIR Matching Programs,Carolina Digital Repository (University of North Carolina at Chapel Hill),article,0,0.0,True,10.17615/waj1-rm84,W2255988770
core,E,2025,Bradley Bereitschaft,1,The Shifting Geography of Innovation in the Era of COVID-19: Exploring Small Business Innovation and Technology Awards in the U.S.,Urban Science,article,1,2.3598,True,10.3390/urbansci9080296,W4412755756
core,E,2025,Syed Haider,2,Small Business Innovative Research (SBIR) and Small Business Technology Transfer (STTR),Elsevier eBooks,book-chapter,0,0.0,False,10.1016/b978-0-323-91790-2.00078-2,W4407026431
core,E,2024,Yanbo Wang,3,Who captures the state? Evidence from irregular awards in a public innovation grant program,Strategic Management Journal,article,5,5.2415,True,10.1002/smj.3635,W4400513158
core,E,2024,Albert N. Link,2,SBIR mills and the U.S. Department of Defense,The Journal of Technology Transfer,article,3,3.045,True,10.1007/s10961-024-10144-z,W4403463372
core,E,2024,Albert N. Link,1,Introduction to the Special Issue on the Globalization of the U.S. Small Business Innovation Research (SBIR) Program,Annals of Science and Technology Policy,article,2,1.0041,True,10.1561/110.00000028-1,W4402806918
core,E,2023,Albert N. Link,1,The U.S. Small Business Technology Transfer (STTR) Program: An Assessment and an Evaluation of the Program,Annals of Science and Technology Policy,article,7,3.8634,True,10.1561/110.00000027,W4323647891
core,E,2023,Brandon Ewing,1,Small business innovation research/small business technology transfer (SBIR/STTR),Elsevier eBooks,book-chapter,1,4.7057,False,10.1016/b978-0-12-823026-8.00079-1,W4366667179
core,E,2023,Doug Goodman,3,Pathway to Successful Inclusion of Tribal Colleges and Universities (TCUs) in the Johnson Space Center (JSC) Small Business Innovation Research (SBIR) / SBIR Technology Transfer (STTR) Program,,article,0,0.0,True,10.32865/2346/94739,W7160287636
core,E,2022,Albert N. Link,3,An assessment of the US Small Business Innovation Research (SBIR) program: A study of project failure,Science and Public Policy,article,6,1.3904,False,10.1093/scipol/scac049,W4294219103
core,E,2021,Vivek Bhattacharya,1,An Empirical Model of R&amp;D Procurement Contests: An Analysis of the DOD SBIR Program,Econometrica,article,32,3.108,False,10.3982/ecta16581,W3200867643
core,E,2021,David Lee,3,SBIR/STTR Grants: Introduction and Overview,,article,2,0.569,True,10.21428/b2e239dc.37b3089a,W2980084645
core,E,2020,Brayden Songe,1,Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR),,article,3,0.4299,False,,W3093510056
core,E,2019,James Onken,5,"Using database linkages to measure innovation, commercialization, and survival of small businesses",Evaluation and Program Planning,article,9,1.9386,True,10.1016/j.evalprogplan.2019.101710,W2971848910
core,E,2019,John T. Scott,1,An Assessment of the Small Business Innovation Research Program in New England: Fast Track Compared with Non-Fast Track Projects,Edward Elgar Publishing eBooks,book-chapter,7,0.0,False,10.4337/9781788116336.00014,W2931283440
core,E,2019,Albert N. Link,1,An Assessment of the Small Business Innovation Research Fast Track Program in Southeastern States,Edward Elgar Publishing eBooks,book-chapter,4,1.6138,False,10.4337/9781788116336.00015,W2927289245
core,E,2019,Andrea Belz,5,Technology Maturity in NASA’s Small Business Innovation Research Program,,book-chapter,2,6.6236,False,10.1007/978-3-030-00114-8_36,W2951014623
core,E,2019,Albert N. Link,2,The U.S. Small Business Innovation Research Program,SpringerBriefs in entrepreneurship and innovation,book-chapter,1,0.0,False,10.1007/978-3-030-21534-7_3,W1939354529
core,E,2019,Doug Goodman,3,Furthering Inclusion of Minority Serving Institutions (MSIs) in the Johnson Space Center (JSC) Small Business Innovation Research (SBIR) / SBIR Technology Transfer (STTR) Program,ThinkTech (Texas Tech University),article,0,0.0,True,,W3134921906
